Book Name,Author,Description,Listening Time,Ranks and Genre,Final_Rating,Final_Price,Final_Reviews,Clean_Genres,Cluster,Hybrid_Score
"gay, straight, and the reason why: the science of sexual orientation",simon levay,,unknown,unknown,4.2,602.0,46.0,['Unknown'],1,4.060059040684024
armada,ernest cline,,unknown,unknown,3.9,888.0,2795.0,['Unknown'],1,5.51437804134148
clockwork prince,cassandra clare,,unknown,unknown,4.8,824.0,1979.0,['Unknown'],1,5.916340849475432
the naked face & the stars shine down: sidney sheldon 2-in-1 edition,sidney sheldon,,unknown,unknown,-1.0,585.0,0.0,['Unknown'],1,-0.6
"the great game of business, expanded and updated: the only sensible way to run a company",jack stack,,unknown,unknown,4.6,668.0,210.0,['Unknown'],1,4.900743253390427
winnie-the-pooh: the complete bbc collection,a. a. milne,,unknown,unknown,-1.0,615.0,0.0,['Unknown'],1,-0.6
broca's brain: reflections on the romance of science,carl sagan,,unknown,unknown,4.5,1005.0,75.0,['Unknown'],1,4.432293336114532
boosting your emotional intelligence,jason m. satterfield,,unknown,unknown,-1.0,1171.0,0.0,['Unknown'],1,-0.6
the tea girl of hummingbird lane,lisa see,,unknown,unknown,4.6,1328.0,2168.0,['Unknown'],1,5.83280860433075
monsoon: the indian ocean and the future of american power,robert d. kaplan,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.5,694.0,157.0,[],3,4.725038013210787
do it afraid: embracing courage in the face of fear,joyce meyer,,unknown,unknown,4.9,500.0,30.0,['Unknown'],1,4.313594881794058
ai ethics: mit press essential knowledge series,mark coeckelbergh,,unknown,unknown,4.8,586.0,7.0,['Unknown'],1,3.7117766166719344
the dark charisma of adolf hitler,laurence rees,,unknown,unknown,4.5,820.0,71.0,['Unknown'],1,4.410666447606422
the art of value investing: essential strategies for market-beating returns,john heins,,unknown,unknown,4.0,703.0,29.0,['Unknown'],1,3.760478952664862
windmills of the gods,sidney sheldon,,unknown,unknown,4.5,397.0,145.0,['Unknown'],1,4.693442648683334
brick lane,monica ali,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.1,827.0,220.0,[],3,4.6192650806071
brick lane,monica ali,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.1,827.0,220.0,[],2,4.6192650806071
business @ the speed of thought: using a digital nervous system,bill gates,,unknown,unknown,4.4,500.0,93.0,['Unknown'],1,4.457317912908001
my man jeeves,p. g. wodehouse,,unknown,unknown,4.3,187.0,112.0,['Unknown'],1,4.470955127484936
death in the clouds (dramatised),agatha christie,,unknown,unknown,4.5,342.0,262.0,['Unknown'],1,4.928861612871106
hashimoto's protocol: a 90-day plan for reversing thyroid symptoms and getting your life back,izabella wentz,,unknown,unknown,4.6,12356.0,1469.0,['Unknown'],1,5.677207071909113
"demon hunting 101: immortal ninja academy, book 1",marco frazetta,,unknown,unknown,4.4,1172.0,11.0,['Unknown'],1,3.6339626599152
the cybersecurity playbook: how every leader and employee can contribute to a culture of security,allison cerra,"Many books discuss the technical underpinnings and complex configurations necessary for cybersecurity - but they fail to address the everyday steps that boards, managers, and employees can take to prevent attacks. The Cybersecurity Playbook is the step-by-step guide to protecting your organization from unknown threats and integrating good security habits into everyday business situations. This audiobook provides clear guidance on how to identify weaknesses, assess possible threats, and implement effective policies. Recognizing that an organization's security is only as strong as its weakest link, this audiobook offers specific strategies for employees at every level.",4 hours and 59 minutes,",#827 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#25 in Forecasting & Strategic Planning,#53 in Business Management,#228 in Industries",4.8,703.0,9.0,[],1,3.8010340371976183
the land of roar,jenny mclachlan,,unknown,unknown,4.8,569.0,178.0,['Unknown'],1,4.954954322336302
everything under,daisy johnson,,unknown,unknown,3.9,569.0,114.0,['Unknown'],1,4.2379728513453
61 hours: jack reacher 14,lee child,,unknown,unknown,4.5,1093.0,3446.0,['Unknown'],1,5.958103826606745
kettlebell - simple & sinister,pavel tsatsouline,,unknown,unknown,4.5,233.0,228.0,['Unknown'],1,4.873488801421695
the dating playbook for men: a proven 7 step system to go from single to the woman of your dreams,andrew ferebee,,unknown,unknown,4.3,501.0,290.0,['Unknown'],1,4.849329306868597
what if it does work out?: how a side hustle can change your life,susie moore,,unknown,unknown,4.7,398.0,83.0,['Unknown'],1,4.592326719537326
speaking: the modi way,virender kapoor,,unknown,unknown,3.8,668.0,12.0,['Unknown'],1,3.3059797429846145
"you can read anyone: never be fooled, lied to, or taken advantage of again",david j,,unknown,unknown,4.2,469.0,148.0,['Unknown'],1,4.521578522378183
what makes you not a buddhist,dzongsar jamyang khyentse,,unknown,unknown,4.5,100.0,225.0,['Unknown'],1,4.868213999708914
"the experience economy, updated edition",b. joseph pine ii,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.5,773.0,96.0,[],2,4.529884391401353
"the day the jerk started falling: jerk duet series, book 2",max monroe,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.7,586.0,43.0,[],3,4.333675853567304
what makes you not a buddhist,dzongsar jamyang khyentse,,unknown,unknown,4.5,100.0,225.0,['Unknown'],1,4.868213999708914
"the experience economy, updated edition",b. joseph pine ii,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.5,773.0,96.0,[],2,4.529884391401353
"the day the jerk started falling: jerk duet series, book 2",max monroe,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.7,586.0,43.0,[],3,4.333675853567304
the poetics,aristotle,,unknown,unknown,4.4,609.0,138.0,['Unknown'],1,4.6137895732522765
"life after death, powerful evidence you will not die",stephen hawley martin,,unknown,unknown,4.3,234.0,86.0,['Unknown'],1,4.366363247461833
the wisdom of anxiety: how worry and intrusive thoughts are gifts to help you heal,sheryl paul,Work anxiety. Relationship anxiety. Social anxiety. World anxiety. Money anxiety. Health anxiety.,-1,-1,4.8,586.0,182.0,[],1,4.963794461136569
the art of making memories: how to create and remember happy moments,meik wiking,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.6,615.0,150.0,[],3,4.76691193472597
life is what matters: it's time to be happy again,alka dixit,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.6,501.0,218.0,[],3,4.9156286919266
the end of the affair,graham greene,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.1,558.0,310.0,[],3,4.755917164871693
modern british drama,peter saccio,,unknown,unknown,-1.0,501.0,0.0,['Unknown'],1,-0.6
the joke,milan kundera,,unknown,unknown,4.3,607.0,59.0,['Unknown'],1,4.2177378248888395
"the pin: series 1, 2 and 3",ben ashenden,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,-1.0,478.0,0.0,[],2,-0.6
you are my reason to smile,arpit vageria,,unknown,unknown,4.1,668.0,837.0,['Unknown'],1,5.152407240192833
how to talk to absolutely anyone: confident communication in every situation,mark rhodes,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.2,565.0,41.0,[],3,4.015067847313348
everyday calming rituals: simple daily practices to reduce stress,tania ahsan,,unknown,unknown,4.4,569.0,4.0,['Unknown'],1,3.2837751649736404
"hershey: milton s. hershey's extraordinary life of wealth, empire, and utopian dreams",michael d'antonio,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.7,703.0,79.0,[],2,4.572810653869553
the boy who followed his father into auschwitz,jeremy dronfield,,unknown,unknown,4.8,888.0,632.0,['Unknown'],1,5.4601881688576706
how to eat: the pleasures and principles of good food: vintage classics anniversary edition,nigella lawson,,unknown,unknown,4.4,888.0,261.0,['Unknown'],1,4.867337801504439
english in situations - new edition - business english - 16 topics. proficiency level b2: listen & learn,dorota guzik,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,-1.0,334.0,0.0,[],3,-0.6
english in situations - new edition - business english - 16 topics. proficiency level b2: listen & learn,dorota guzik,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",-1,-1,-1.0,334.0,0.0,[],0,-0.6
open veins of latin america: five centuries of the pillage of a continent,eduardo galeano,,unknown,unknown,4.7,1003.0,605.0,['Unknown'],1,5.382751994427726
essential guide for healers,caroline myss,,unknown,unknown,4.6,702.0,28.0,['Unknown'],1,4.106918331994589
my man jeeves,p. g. wodehouse,,unknown,unknown,4.3,187.0,112.0,['Unknown'],1,4.470955127484936
death in the clouds (dramatised),agatha christie,,unknown,unknown,4.5,342.0,262.0,['Unknown'],1,4.928861612871106
hashimoto's protocol: a 90-day plan for reversing thyroid symptoms and getting your life back,izabella wentz,,unknown,unknown,4.6,12356.0,1469.0,['Unknown'],1,5.677207071909113
"demon hunting 101: immortal ninja academy, book 1",marco frazetta,,unknown,unknown,4.4,1172.0,11.0,['Unknown'],1,3.6339626599152
the cybersecurity playbook: how every leader and employee can contribute to a culture of security,allison cerra,"Many books discuss the technical underpinnings and complex configurations necessary for cybersecurity - but they fail to address the everyday steps that boards, managers, and employees can take to prevent attacks. The Cybersecurity Playbook is the step-by-step guide to protecting your organization from unknown threats and integrating good security habits into everyday business situations. This audiobook provides clear guidance on how to identify weaknesses, assess possible threats, and implement effective policies. Recognizing that an organization's security is only as strong as its weakest link, this audiobook offers specific strategies for employees at every level.",4 hours and 59 minutes,",#827 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#25 in Forecasting & Strategic Planning,#53 in Business Management,#228 in Industries",4.8,703.0,9.0,[],1,3.8010340371976183
the land of roar,jenny mclachlan,,unknown,unknown,4.8,569.0,178.0,['Unknown'],1,4.954954322336302
everything under,daisy johnson,,unknown,unknown,3.9,569.0,114.0,['Unknown'],1,4.2379728513453
61 hours: jack reacher 14,lee child,,unknown,unknown,4.5,1093.0,3446.0,['Unknown'],1,5.958103826606745
kettlebell - simple & sinister,pavel tsatsouline,,unknown,unknown,4.5,233.0,228.0,['Unknown'],1,4.873488801421695
the dating playbook for men: a proven 7 step system to go from single to the woman of your dreams,andrew ferebee,,unknown,unknown,4.3,501.0,290.0,['Unknown'],1,4.849329306868597
what if it does work out?: how a side hustle can change your life,susie moore,,unknown,unknown,4.7,398.0,83.0,['Unknown'],1,4.592326719537326
you are my reason to smile,arpit vageria,,unknown,unknown,4.1,668.0,837.0,['Unknown'],1,5.152407240192833
how to talk to absolutely anyone: confident communication in every situation,mark rhodes,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.2,565.0,41.0,[],3,4.015067847313348
everyday calming rituals: simple daily practices to reduce stress,tania ahsan,,unknown,unknown,4.4,569.0,4.0,['Unknown'],1,3.2837751649736404
"hershey: milton s. hershey's extraordinary life of wealth, empire, and utopian dreams",michael d'antonio,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.7,703.0,79.0,[],2,4.572810653869553
"the darwin economy: liberty, competition, and the common good",robert h frank,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.2,703.0,45.0,[],2,4.051456558595638
last night with the earl,kelly bowen,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.3,469.0,38.0,[],3,4.045424658451858
selected shorts: readers & writers,evelyn waugh,"Tony Roberts reads a hilarious Walter R. Brooks story about how Ed - a talking horse - became a voracious reader of adventure tales and mysteries. In a story by Italo Calvino, read by John Shea, a man tries to make the most of his beach holiday by reading and making love at the same time. Leonard Nimoy performs a dark, vintage Evelyn Waugh tickler about a stranded jungle explorer forced to read Dickens aloud. Plus more memorable stories by Ray Bradbury, Molly Giles and Adam Haslett, read by Rochelle Oliver, Blair Brown and Isaiah Sheffer.",-1,-1,4.3,657.0,3.0,[],1,3.134517744447956
"the soul of the lion, the witch, and the wardrobe",gene veith,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.0,656.0,3.0,[],3,2.9545177444479562
a history of the world in 6 glasses,tom standage,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.5,668.0,945.0,[],2,5.440897027620752
speculation as a fine art and thoughts on life,dickson g. watts,,unknown,unknown,3.6,93.0,24.0,['Unknown'],1,3.4475503299472807
cities and canopies: trees in indian cities,harini nagendra,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.4,879.0,60.0,[],3,4.284349545669325
"powershift: transform any situation, close any deal, and achieve any outcome",daymond john,,unknown,unknown,4.7,1005.0,130.0,['Unknown'],1,4.77007892928046
the sunbird,wilbur smith,,unknown,unknown,4.4,987.0,644.0,['Unknown'],1,5.227700126718309
complete mba for dummies: 2nd edition,kathleen allen phd,,unknown,unknown,4.3,703.0,80.0,['Unknown'],1,4.337779661868975
why moats matter: the morningstar approach to stock investing,heather brilliant,,unknown,unknown,4.2,668.0,32.0,['Unknown'],1,3.9186030245865924
"the art of selling to the affluent: how to attract, service, and retain wealthy customers and clients for life, 2nd edition",matt oechsli,,unknown,unknown,4.3,668.0,25.0,['Unknown'],1,3.8832386152085925
100 side hustles: unexpected ideas for making extra money without quitting your day job,chris guillebeau,,unknown,unknown,4.6,1005.0,165.0,['Unknown'],1,4.804795115342618
talking of justice: people's rights in modern india,leila seth,,unknown,unknown,3.8,668.0,5.0,['Unknown'],1,2.9967037876912217
"zen flesh, zen bones: a collection of zen and pre-zen writings (unabridged selections)",paul reps,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.7,421.0,241.0,[],3,5.015575090462675
the signature of all things,elizabeth gilbert,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.3,1054.0,3803.0,[],3,5.877523369466112
the signature of all things,elizabeth gilbert,"Elizabeth Gilbert’s first novel in twelve years is an extraordinary story of botany, exploration and desire, spanning across much of the 19th century. This audiobook follows the fortunes of the brilliant Alma Whittaker (daughter of a bold and charismatic botanical explorer) as she comes into her own within the world of plants and science. As Alma’s careful studies of moss take her deeper into the mysteries of evolution, the man she loves draws her in the opposite direction into the realm of the spiritual, the divine and the magical. Alma is a clear-minded scientist; Ambrose is a Utopian artist. But what unites this couple is a shared passion for knowing, a desperate need to understand the workings of this world, and the mechanism behind of all life. The Signature of All Things is a big novel, about a big century. Exquisitely researched and told at a galloping pace, this story soars across the globe, from London, to Peru, to Philadelphia, to Tahiti, to Amsterdam and beyond. It is told in the bold, questing spirit of that singular time. Alma Whittaker is a witness to history, as well as maker of history herself. She stands on the cusp of the modern, with one foot still in the Enlightened Age, and she is certain to be loved by listeners across the world. ",-1,-1,4.3,1054.0,3803.0,[],1,5.877523369466112
irrational exuberance,robert j. shiller,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.1,628.0,22.0,[],2,3.7141976863716595
the three musketeers,alexandre dumas,,unknown,unknown,4.4,1338.0,709.0,['Unknown'],1,5.266105988014145
mary barton: a tale of manchester life,elizabeth gaskell,,unknown,unknown,4.2,797.0,217.0,['Unknown'],1,4.6737980251156355
"a history of magic, witchcraft and the occult",dk,,unknown,unknown,4.6,888.0,19.0,['Unknown'],1,3.958292909421596
"#therealcinderella: #bestfriendsforever series, book 1",yesenia vargas,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.3,586.0,179.0,[],2,4.657182740356084
"chillpreneur: the new rules for creating success, freedom, and abundance on your terms",denise duffield-thomas,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.8,820.0,137.0,[],3,4.850901474062882
the third jesus: the christ we cannot ignore,deepak chopra md,"Who is Jesus Christ? In The Third Jesus, best-selling author and spiritual leader Deepak Chopra provides an answer to this question that is both a challenge to current systems of belief and a fresh perspective on what Jesus can teach us all, regardless of our religious background. There is not one Jesus, Chopra explains, but three. ",-1,-1,4.4,879.0,167.0,[],1,4.689585591761304
the case for the only child: your essential guide,susan newman,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,3.7,668.0,22.0,[],2,3.47419768637166
the broker,john grisham,,unknown,unknown,4.3,410.0,1069.0,['Unknown'],1,5.370165570982381
classic bbc radio shakespeare: tragedies: hamlet; macbeth; romeo and juliet,william shakespeare,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.5,888.0,4.0,[],2,3.34377516497364
superconnector,scott gerber,,unknown,unknown,4.4,500.0,29.0,['Unknown'],1,4.000478952664862
the audacity to win: the inside story and lessons of barack obama's historic victory,david plouffe,,unknown,unknown,4.6,1131.0,60.0,['Unknown'],1,4.404349545669325
superconnector,scott gerber,,unknown,unknown,4.4,500.0,29.0,['Unknown'],1,4.000478952664862
the audacity to win: the inside story and lessons of barack obama's historic victory,david plouffe,,unknown,unknown,4.6,1131.0,60.0,['Unknown'],1,4.404349545669325
21 great ways to get paid more and promoted faster,brian tracy,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.4,468.0,16.0,[],3,3.773285337622487
"the new primal blueprint: reprogram your genes for effortless weight loss, vibrant health and boundless energy",mark sisson,,unknown,unknown,4.5,836.0,196.0,['Unknown'],1,4.813281491495195
maalgudi ka mithai wala [the vendor of sweets],r.k. narayan,,unknown,unknown,4.3,668.0,5.0,['Unknown'],1,3.2967037876912215
kid normal and the rogue heroes,greg james,,unknown,unknown,4.8,569.0,202.0,['Unknown'],1,5.005282391616715
"anatomy for runners: unlocking your athletic potential for health, speed, and injury prevention",jay dicharry mpt scs,,unknown,unknown,4.7,586.0,356.0,['Unknown'],1,5.171094312711856
"armageddon averted: the soviet collapse, 1970-2000",stephen kotkin,,unknown,unknown,4.3,668.0,53.0,['Unknown'],1,4.17559361862571
bridget jones's diary,helen fielding,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.4,323.0,611.0,[],3,5.206692913004931
strength in the storm,eknath easwaran,"Find balance, peace, and even wisdom by learning to steady the mind. ",51 minutes,",#2,382 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#32 in Stress Management,#38 in Mental Health (Audible Audiobooks & Originals),#59 in Meditation (Audible Audiobooks & Originals)",4.8,163.0,46.0,[],1,4.420059040684023
getting naked: a business fable about shedding the three fears that sabotage client loyalty,patrick lencioni,,unknown,unknown,4.7,754.0,361.0,['Unknown'],1,5.1766576847303085
brandon sanderson: audible sessions: free exclusive interview,holly newson,,unknown,unknown,-1.0,0.0,0.0,['Unknown'],1,-0.6
basic christianity,john stott,,unknown,unknown,4.8,227.0,250.0,['Unknown'],1,5.090181175652713
silence: in the age of noise,erling kagge,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.5,615.0,222.0,[],3,4.862868708584047
silence: in the age of noise,erling kagge,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.5,615.0,222.0,[],3,4.862868708584047
silence: in the age of noise,erling kagge,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.5,615.0,222.0,[],3,4.862868708584047
the source (hindi edition): power of happy thoughts,sirshree,,unknown,unknown,4.6,175.0,42.0,['Unknown'],1,4.264480046277425
couples that work: how to thrive in love and at work,jennifer petriglieri,,unknown,unknown,4.4,888.0,33.0,['Unknown'],1,4.050544209846465
grammar smart: an audio guide to perfect usage,the princeton review,,unknown,unknown,2.9,753.0,4.0,['Unknown'],1,2.38377516497364
"great disciples of the buddha: their lives, their works, their legacies",hellmuth hecker,,unknown,unknown,4.9,1416.0,71.0,['Unknown'],1,4.650666447606422
the classic hundred poems,william shakespeare,,unknown,unknown,4.6,702.0,3.0,['Unknown'],1,3.314517744447956
smart but stuck: emotions in teens and adults with adhd,thomas e. brown,,unknown,unknown,4.4,668.0,91.0,['Unknown'],1,4.448715430819616
unbeatable mind: forge resiliency and mental toughness to succeed at an elite level (third edition: updated & revised),mark divine,,unknown,unknown,4.4,668.0,519.0,['Unknown'],1,5.14153152463019
"cress: the lunar chronicles, book 3",marissa meyer,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.8,1063.0,2170.0,[],2,5.953177267951316
"cress: the lunar chronicles, book 3",marissa meyer,"The third instalment in the best-selling Lunar Chronicles series, following Cinder and Scarlet. ",-1,-1,4.8,1063.0,2170.0,[],1,5.953177267951316
a night to remember: the classic account of the final hours of the titanic,walter lord,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.6,668.0,712.0,[],2,5.387792568165718
the play,elle kennedy,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.6,836.0,473.0,[],3,5.2244829286780305
"birth without fear: the judgment-free guide to taking charge of your pregnancy, birth, and postpartum",january harshe,,unknown,unknown,4.6,500.0,164.0,['Unknown'],1,4.8023781895602315
"in the closet of the vatican: power, homosexuality, hypocrisy",frederic martel,"In the Closet of the Vatican is a fascinating description and evaluation of financial, sexual and political misconduct throughout the Catholic Church at a time when new revelations are being uncovered each and every week. This audiobook explores the underlying causes and includes interviews with numerous Cardinals and other individuals, some of whom cannot be named. ",-1,-1,4.0,1138.0,323.0,[],1,4.712297406316932
"in the closet of the vatican: power, homosexuality, hypocrisy",frederic martel,"In the Closet of the Vatican is a fascinating description and evaluation of financial, sexual and political misconduct throughout the Catholic Church at a time when new revelations are being uncovered each and every week. This audiobook explores the underlying causes and includes interviews with numerous Cardinals and other individuals, some of whom cannot be named. ",-1,-1,4.0,1138.0,323.0,[],1,4.712297406316932
what men live by,leo tolstoy,,unknown,unknown,4.0,281.0,5.0,['Unknown'],1,3.116703787691222
anne of green gables (bbc children's classics),l. m. montgomery,,unknown,unknown,4.6,410.0,3923.0,['Unknown'],1,6.069946728274102
the temple of the golden pavillion,yukio mishima,,unknown,unknown,4.1,668.0,20.0,['Unknown'],1,3.677808975089369
darkstalker: wings of fire: legends,tui t. sutherland,,unknown,unknown,4.9,656.0,1024.0,['Unknown'],1,5.712979156629004
500 quotes of lao tsu for meditation,tzu lao,,unknown,unknown,-1.0,414.0,0.0,['Unknown'],1,-0.6
hondo,louis l'amour,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.7,528.0,380.0,[],2,5.19711975005068
personal history,katharine graham,,unknown,unknown,4.5,1759.0,298.0,['Unknown'],1,4.980177429356274
the deepest well: healing the long-term effects of childhood adversity,dr nadine burke harris,,unknown,unknown,4.7,323.0,884.0,['Unknown'],1,5.534235058003172
learn hindi - level 4: intermediate hindi: volume 1: lessons 1-25,innovative language learning llc,"Ready to speak and understand Hindi at an Intermediate level? Close your eyes and picture yourself arriving at an airport, walking out and finding yourself on a busy street. Imagine hearing the native conversations all around you.This is the kind of Hindi you learn here. Practical, everyday conversation. ",-1,-1,-1.0,469.0,0.0,[],1,-0.6
"the 39 clues, book 2: one false note",gordon korman,,unknown,unknown,4.6,468.0,238.0,['Unknown'],1,4.9505854207726046
batman and psychology: a dark and stormy knight,travis langley,,unknown,unknown,4.7,1172.0,244.0,['Unknown'],1,5.020503284217891
the master of petersburg,j. m. coetzee,,unknown,unknown,4.2,569.0,24.0,['Unknown'],1,3.80755032994728
"broken open: mountains, demons, treadmills and a search for nirvana",david clark,,unknown,unknown,4.6,836.0,34.0,['Unknown'],1,4.182139224595765
drop the rock: removing character defects - steps six and seven,bill p.,,unknown,unknown,4.8,501.0,2129.0,['Unknown'],1,5.945550903481388
the alchemist,h.p. lovecraft,,unknown,unknown,3.9,47.0,3.0,['Unknown'],1,2.894517744447956
"taking the stage: how women can speak up, stand out, and succeed",judith humphrey,,unknown,unknown,4.6,668.0,19.0,['Unknown'],1,3.958292909421596
nate saint: on a wing and a prayer (christian heroes: then & now),janet benge,,unknown,unknown,4.8,680.0,65.0,['Unknown'],1,4.55586189681057
the once and future king,t. h. white,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.3,1641.0,639.0,[],2,5.164587270541487
energy anatomy,caroline myss,,unknown,unknown,4.8,1640.0,44.0,['Unknown'],1,4.402664995908128
the 10 pillars of wealth: mind-sets of the world’s richest people,alex becker,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.6,820.0,528.0,[],3,5.26839537274332
twilight of democracy: the failure of politics and the parting of friends,anne applebaum,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.4,888.0,49.0,[],3,4.204809202171258
the christmasaurus and the winter witch,tom fletcher,,unknown,unknown,4.9,615.0,988.0,['Unknown'],1,5.6986777326490845
what men live by,leo tolstoy,,unknown,unknown,4.0,281.0,5.0,['Unknown'],1,3.116703787691222
the temple of the golden pavillion,yukio mishima,,unknown,unknown,4.1,668.0,20.0,['Unknown'],1,3.677808975089369
darkstalker: wings of fire: legends,tui t. sutherland,,unknown,unknown,4.9,656.0,1028.0,['Unknown'],1,5.71453709433362
500 quotes of lao tsu for meditation,tzu lao,,unknown,unknown,-1.0,414.0,0.0,['Unknown'],1,-0.6
hondo,louis l'amour,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.7,528.0,380.0,[],2,5.19711975005068
personal history,katharine graham,,unknown,unknown,4.5,1759.0,298.0,['Unknown'],1,4.980177429356274
learn hindi - level 4: intermediate hindi: volume 1: lessons 1-25,innovative language learning llc,"Ready to speak and understand Hindi at an Intermediate level? Close your eyes and picture yourself arriving at an airport, walking out and finding yourself on a busy street. Imagine hearing the native conversations all around you.This is the kind of Hindi you learn here. Practical, everyday conversation. ",-1,-1,-1.0,469.0,0.0,[],1,-0.6
"the 39 clues, book 2: one false note",gordon korman,,unknown,unknown,4.6,468.0,238.0,['Unknown'],1,4.9505854207726046
batman and psychology: a dark and stormy knight,travis langley,,unknown,unknown,4.7,1172.0,244.0,['Unknown'],1,5.020503284217891
the master of petersburg,j. m. coetzee,,unknown,unknown,4.2,569.0,24.0,['Unknown'],1,3.80755032994728
